,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,min,max,std,median,count,mean,min,max,std,median,count,mean,min,max,std,median
page_id,,,,,,,,,,,,,,,,,,
0005687f4ac876c135dda2bd5aa60962eced3356228ef01c21c514d263a11128,2,5250.0,3000,7500,3181.9805153394636,5250.0,2,3999.0,2499,5499,2121.3203435596424,3999.0,2,49.0,49,49,0.0,49.0
00157b7e28846e0510e1d265c5ea72fea289d9a3e31a91bb3ed242d8b17f4cd8,3,12683.333333333334,550,30000,15394.019401486192,7500.0,3,32999.0,6499,64999,29635.283025474888,27499.0,3,1415.6666666666667,249,2749,1258.3057392117917,1249.0
002415d34a27e69e6b9c0a2d1b0b8b99aacddf88c766ce1e8b897f69cbd3c928,1,300000.0,300000,300000,,300000.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
002a7fde0f1b2e9116e80f42d7dfea04ccdd61308dc5cc84b53d4262fcc9a2f2,4,1000001.0,1000001,1000001,0.0,1000001.0,4,15249.0,3499,22499,9142.392101268319,17499.0,4,49.0,49,49,0.0,49.0
003acdd6c226d5c2fa272e55ad9a8d39a82e2b6c2ed504b599c923bc33b29b68,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
0052e597646ada728a3321aa7a4dc98b9e3f0e2d4215de3b732311c296fd710c,1,75000.0,75000,75000,,75000.0,1,84999.0,84999,84999,,84999.0,1,1249.0,1249,1249,,1249.0
0054486b6689b350b5d20a4d78ac0fe5f8f82e083aa72d0287b6cba75c9b2b82,167,119017.1497005988,550,1000001,283383.416790806,30000.0,167,104166.68263473053,499,1000000,207666.34616043977,22499.0,167,2141.814371257485,49,112499,9558.008178739567,449.0
0055a3ffa4db31eb7ab3042dc0603aa52c409aad815061a9cf63889f35c94440,8,1000001.0,1000001,1000001,0.0,1000001.0,8,999.0,499,3499,1069.0449676496976,499.0,8,49.0,49,49,0.0,49.0
005b231946e0436490095ce46adb4043462c376fb24cf907ff0b59d378a7166e,28,39642.857142857145,30000,300000,51025.20385624568,30000.0,28,18391.85714285714,3499,47499,10850.291976662931,14999.0,28,199.0,49,549,113.8550085106622,149.0
005b7dcff35441472bbdf923c423936bf35cebc4a78547fdc6da426624002b13,1,550.0,550,550,,550.0,1,4499.0,4499,4499,,4499.0,1,49.0,49,49,,49.0
00624a36a7dffef0c3a30c1400154289d7a730317f2864d1093c144fb7746d0f,1,1000001.0,1000001,1000001,,1000001.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
006ecb29dc68fa05288245d618bfc9c5bc3dda148d1845ff272a0548e35225b3,20,1000001.0,1000001,1000001,0.0,1000001.0,20,2249.0,499,3499,786.3975156570492,2499.0,20,99.0,49,249,60.6976978666884,49.0
009685870ab90316a21f178eed0612d95a3d078abbde49fa37503b707d52dbcc,11,206136.45454545456,7500,1000001,298959.6349313277,30000.0,11,2771.7272727272725,1499,5499,1190.8743922772956,2499.0,11,49.0,49,49,0.0,49.0
009a79523797c64152c84240ddcbefb45f0080433f22e95c57be87b9ce46e684,2,300000.0,300000,300000,0.0,300000.0,2,2999.0,499,5499,3535.5339059327375,2999.0,2,99.0,49,149,70.71067811865476,99.0
009c04f5fcf08f537e6b7156171274c7aa65c65cf13818878b897faa1a9d18e6,4,30000.0,30000,30000,0.0,30000.0,4,2499.0,499,5499,2160.2468994692867,1999.0,4,74.0,49,149,50.0,49.0
00a05974f4f4d81f7d97b6553db51bf1abc7a9b3c26643180121e9704b3b0c7d,2,1000001.0,1000001,1000001,0.0,1000001.0,2,499.0,499,499,0.0,499.0,2,49.0,49,49,0.0,49.0
00a3c68ff5742de68f5319c69930c1920bcf51048abcb1ff0e15f53d09b01084,1,30000.0,30000,30000,,30000.0,1,12499.0,12499,12499,,12499.0,1,49.0,49,49,,49.0
00b4362ca296b282f4321ed97f467d596105bfe3e86f224b2939ba12a3ad39f8,1,1000001.0,1000001,1000001,,1000001.0,1,6499.0,6499,6499,,6499.0,1,49.0,49,49,,49.0
00b4d9a86205a7aae88b281ce141f7f1de3cb351a691ad93c2ba1811114fa84f,55,3000.0,3000,3000,0.0,3000.0,55,2899.0,499,12499,3639.291750388314,1499.0,55,127.18181818181819,49,549,141.0160341433622,49.0
00d27a1e21edba062156aae7d640d489c5692954414d07e3707ae9854cf8bf39,9,698111.5555555555,3000,1000001,403450.63266808464,750000.0,9,107665.66666666667,6499,424999,135396.1779371929,64999.0,9,1615.6666666666667,149,4749,1469.6938456699068,1249.0
